name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
libuv,20747,3300,704,2141,C,"['C', 'M4', 'CMake', 'Makefile', 'Python', 'Shell', 'Batchfile']",5110.0,2013-11-30T00:29:56Z,MIT License
vant,20739,9432,376,4698,TypeScript,"['TypeScript', 'Vue', 'Less', 'JavaScript', 'HTML', 'Smarty', 'Handlebars', 'Shell']",9329.0,2017-04-19T07:55:31Z,MIT License
electron-react-boilerplate,20735,3522,278,1558,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'EJS', 'Shell']",1102.0,2015-05-18T09:54:57Z,MIT License
notable,20733,1046,201,74,TypeScript,['TypeScript'],458.0,2018-12-22T13:57:19Z,
the-swift-programming-language-in-chinese,20703,5160,1292,799,CSS,"['CSS', 'HTML']",2511.0,2014-06-03T04:44:09Z,
v8,20688,3790,977,63,C++,"['C++', 'JavaScript', 'Python', 'HTML', 'TypeScript', 'C', 'Shell', 'CSS', 'Lua', 'Scheme']",79915.0,2014-09-24T15:24:30Z,Other
gentelella,20685,6836,1106,258,HTML,"['HTML', 'JavaScript', 'CSS', 'SCSS']",456.0,2015-05-15T06:57:27Z,MIT License
vegeta,20681,1276,321,220,Go,"['Go', 'CSS', 'Python', 'Gnuplot', 'Smarty', 'Makefile']",670.0,2013-08-13T11:45:21Z,MIT License
The-Art-Of-Programming-By-July,20680,7182,1871,343,C,"['C', 'Python', 'Java', 'C++', 'JavaScript', 'Ruby', 'Go', 'PHP', 'Rebol', 'Erlang']",3649.0,2013-12-14T10:00:06Z,
fairseq,20642,5180,360,1230,Python,"['Python', 'Cuda', 'C++', 'Cython', 'Lua', 'Shell']",2279.0,2017-08-29T16:26:12Z,MIT License
openssl,20639,8783,974,12019,C,"['C', 'Perl', 'Raku', 'Assembly', 'Shell', 'C++', 'M4', 'eC', 'DIGITAL Command Language', 'Pawn']",32451.0,2013-01-15T22:34:48Z,Apache License 2.0
awesome-actions,20627,1328,295,584,,,1252.0,2018-10-17T17:53:45Z,Creative Commons Zero v1.0 Universal
gfwlist,20606,3943,736,27,,,3607.0,2015-03-13T13:24:56Z,GNU Lesser General Public License v2.1
tips,20586,1743,574,170,JavaScript,['JavaScript'],399.0,2015-07-15T07:24:48Z,MIT License
security-guide-for-developers,20580,1603,1111,42,,,146.0,2016-06-08T15:56:25Z,
tachiyomi,20572,2354,562,2035,Kotlin,['Kotlin'],5465.0,2015-10-07T09:51:12Z,Apache License 2.0
api-guidelines,20564,2529,636,219,,,679.0,2016-07-12T20:01:24Z,Other
locust,20546,2619,431,878,Python,"['Python', 'HTML', 'JavaScript', 'Sass', 'Shell', 'Dockerfile', 'Makefile']",3939.0,2011-02-17T11:08:03Z,MIT License
srs,20507,4818,831,555,C++,"['C++', 'JavaScript', 'HTML', 'Shell', 'Go', 'Python', 'NSIS', 'CMake', 'Lua', 'Dockerfile']",8488.0,2015-04-29T06:59:32Z,MIT License
lens,20504,1194,248,3924,TypeScript,"['TypeScript', 'SCSS', 'JavaScript', 'HTML', 'Makefile', 'Jsonnet', 'Dockerfile', 'NSIS', 'CSS', 'Shell']",3351.0,2018-11-12T06:28:56Z,Other
WaveFunctionCollapse,20501,1082,507,32,C#,['C#'],140.0,2016-09-30T11:53:17Z,Other
flink,20496,11591,950,21732,Java,"['Java', 'Scala', 'Python', 'Shell', 'TypeScript', 'HiveQL', 'HTML', 'GAP', 'Cython', 'FreeMarker']",32635.0,2014-06-07T07:00:10Z,Apache License 2.0
react-native-web,20496,1762,332,686,JavaScript,"['JavaScript', 'CSS', 'HTML', 'Shell']",1879.0,2015-06-09T19:25:38Z,MIT License
games,20486,2708,891,395,,,648.0,2012-01-05T19:48:55Z,
TDengine,20486,4596,703,15942,C,"['C', 'C++', 'Shell', 'Yacc', 'CMake', 'Batchfile', 'Objective-C', 'Inno Setup', 'Dockerfile', 'GDB']",46745.0,2019-07-11T08:33:48Z,GNU Affero General Public License v3.0
firecracker,20483,1464,343,2048,Rust,"['Rust', 'Python', 'Shell', 'C', 'Ruby']",3860.0,2017-10-19T06:18:47Z,Apache License 2.0
rancher,20482,2723,643,9208,Go,"['Go', 'Python', 'Groovy', 'Shell', 'PowerShell', 'HCL', 'Jinja', 'Dockerfile', 'Mustache', 'JavaScript']",9844.0,2014-11-07T20:49:31Z,Apache License 2.0
masscan,20468,2853,652,195,C,"['C', 'Makefile']",705.0,2013-07-28T05:35:33Z,Other
